ljfxtc;90hwnk9;v03idh3;90hwnk10;v03idh4;90hwnk11;v03idh5;90hwnk12;v03idh6;90hwnk13;v03idh7;90hwnk17;v03idh11;90hwnk20;v03idh14;90hwnk21;v03idh15;90hwnk22;v03idh16;90hwnk25;v03idh19;qubdny;nndkn7;2em8jo;1jclu3;5lkssg;codq0a;jrowix;z6mcrk;y1igza;tt2yek;vdipua;zofpqz;hfeoow;n4y3fs;2zbgtn;tm1bdf;fnz5f1;enjcyd;aeoqyi;# ResponseStatus;# Date;# Identifier;# ResponseKey;# DiffusionDate
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;50%;Nein;23%;Ja;60%;Ja;50%;Ja;50%;Nein;23%;Nein;10%;Nein;7%;Ja;70%;Nein;47%;Stimme eher nicht zu;Stimme weder zu noch nicht zu;Stimme gar nicht zu;Stimme voll zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme voll zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;über 50;Männlich;Komplette Antwort;19.07.2023 20:59;;Reponse30;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;75%;Nein;50%;Nein;50%;Ja;50%;Ja;50%;Nein;50%;Ja;50%;Ja;50%;Ja;50%;Ja;50%;Stimme eher zu;Stimme eher nicht zu;Stimme voll zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme voll zu;Stimme eher zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;über 50;Weiblich;Komplette Antwort;20.07.2023 10:51;;Reponse33;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Nein;14%;Nein;6%;Ja;44%;Nein;12%;Ja;42%;Nein;4%;Ja;50%;Ja;56%;Ja;61%;Ja;82%;Stimme eher zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme voll zu;Stimme eher zu;Stimme gar nicht zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;25 - 34;Weiblich;Komplette Antwort;20.07.2023 08:49;;Reponse31;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;74%;Nein;0%;Ja;74%;Ja;74%;Ja;76%;Ja;74%;Ja;72%;Ja;75%;Ja;75%;Ja;77%;Stimme eher zu;Keine Angabe;Stimme gar nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;Stimme voll zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme eher zu;Stimme eher zu;25 - 34;Weiblich;Komplette Antwort;20.07.2023 10:31;;Reponse32;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;20.07.2023 14:09;;Reponse34;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Nein;50%;Nein;30%;Ja;30%;Ja;38%;Nein;30%;Nein;25%;Ja;25%;Ja;30%;Ja;33%;Ja;43%;Stimme weder zu noch nicht zu;Keine Angabe;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Keine Angabe;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;25 - 34;Weiblich;Komplette Antwort;20.07.2023 17:14;;Reponse35;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;20.07.2023 18:58;;Reponse36;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;21.07.2023 05:59;;Reponse37;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;100%;Nein;50%;Ja;75%;Ja;88%;Ja;95%;Ja;99%;Ja;100%;Ja;100%;Ja;100%;Ja;100%;Stimme voll zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme voll zu;Stimme eher nicht zu;Stimme eher zu;Stimme gar nicht zu;Stimme eher zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme gar nicht zu;Stimme weder zu noch nicht zu;Stimme eher zu;18 - 24;Männlich;Komplette Antwort;21.07.2023 08:28;;Reponse38;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;21.07.2023 09:21;;Reponse39;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;21.07.2023 12:54;;Reponse40;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;100%;Nein;47%;Ja;79%;Nein;83%;Ja;87%;Nein;52%;Ja;79%;Ja;71%;Ja;82%;Ja;76%;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme voll zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;über 50;Männlich;Komplette Antwort;21.07.2023 14:01;;Reponse41;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;74%;Nein;17%;Ja;72%;Ja;66%;Ja;69%;Nein;77%;Ja;65%;Ja;64%;Ja;69%;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;19.07.2023 13:53;;Reponse23;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;80%;Nein;55%;Ja;83%;Ja;92%;Ja;95%;Ja;100%;Ja;100%;Ja;100%;Ja;100%;Ja;100%;Stimme voll zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme weder zu noch nicht zu;Stimme voll zu;Stimme gar nicht zu;Stimme eher zu;Keine Angabe;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme gar nicht zu;Keine Angabe;Stimme eher zu;35 - 50;Weiblich;Komplette Antwort;24.07.2023 09:07;;Reponse43;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;100%;Nein;3%;Ja;68%;Ja;80%;Ja;65%;Nein;7%;Nein;15%;Nein;16%;Nein;14%;Ja;10%;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme voll zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme voll zu;Stimme voll zu;Stimme voll zu;Stimme eher nicht zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;25 - 34;Weiblich;Komplette Antwort;24.07.2023 09:00;;Reponse42;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;100%;Nein;51%;Ja;100%;Ja;100%;Ja;100%;Nein;48%;Ja;100%;Nein;48%;Ja;100%;Ja;100%;Keine Angabe;Keine Angabe;Stimme voll zu;Stimme voll zu;Stimme voll zu;Stimme voll zu;Stimme voll zu;Stimme voll zu;Stimme voll zu;Keine Angabe;Keine Angabe;Stimme voll zu;Keine Angabe;Keine Angabe;Stimme voll zu;Stimme voll zu;Keine Angabe;35 - 50;Männlich;Komplette Antwort;17.07.2023 13:15;;Reponse3;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;82%;Ja;89%;Ja;89%;Ja;97%;Ja;94%;Ja;91%;Ja;93%;Ja;93%;Ja;96%;Ja;95%;Keine Angabe;Keine Angabe;Keine Angabe;Keine Angabe;Keine Angabe;Keine Angabe;Keine Angabe;Keine Angabe;Keine Angabe;Keine Angabe;Keine Angabe;Keine Angabe;Keine Angabe;Keine Angabe;Keine Angabe;Keine Angabe;Keine Angabe;35 - 50;Männlich;Komplette Antwort;19.07.2023 10:28;;Reponse6;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;75%;Nein;14%;Ja;64%;Ja;53%;Ja;95%;Ja;87%;Ja;58%;Nein;33%;Ja;49%;Ja;77%;Stimme eher zu;Stimme eher nicht zu;Stimme voll zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;Stimme gar nicht zu;Stimme weder zu noch nicht zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme voll zu;Stimme gar nicht zu;Stimme weder zu noch nicht zu;25 - 34;Männlich;Komplette Antwort;19.07.2023 10:28;;Reponse8;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;19.07.2023 11:09;;Reponse12;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;64%;Nein;90%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;19.07.2023 13:10;;Reponse16;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;80%;Nein;65%;Ja;80%;Ja;83%;Ja;80%;Nein;66%;Ja;70%;Ja;75%;Ja;80%;Ja;80%;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme voll zu;Stimme voll zu;Stimme voll zu;Stimme voll zu;Stimme eher zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme voll zu;Stimme voll zu;25 - 34;Männlich;Komplette Antwort;19.07.2023 12:40;;Reponse13;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;80%;Nein;50%;Ja;56%;Ja;71%;Nein;61%;Nein;57%;Ja;64%;Ja;65%;Ja;65%;Ja;77%;Stimme eher zu;Stimme eher zu;Stimme eher nicht zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme voll zu;Stimme eher zu;Stimme eher nicht zu;Stimme weder zu noch nicht zu;Stimme voll zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;18 - 24;Weiblich;Komplette Antwort;19.07.2023 13:16;;Reponse17;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Nein;67%;Nein;31%;Ja;59%;Nein;29%;Ja;68%;Nein;37%;Nein;33%;Ja;46%;Ja;48%;Ja;57%;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;über 50;Weiblich;Komplette Antwort;19.07.2023 14:01;;Reponse24;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;54%;Nein;18%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;19.07.2023 15:02;;Reponse26;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;50%;Nein;10%;Ja;24%;Ja;11%;Ja;46%;Nein;15%;Ja;25%;Ja;53%;Ja;64%;Ja;56%;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme voll zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;25 - 34;Männlich;Komplette Antwort;19.07.2023 15:26;;Reponse27;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;50%;Nein;50%;Ja;65%;Ja;75%;Ja;80%;Ja;90%;Ja;90%;Ja;90%;Ja;95%;Ja;95%;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme gar nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;25 - 34;Männlich;Komplette Antwort;19.07.2023 16:00;;Reponse28;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;18.07.2023 08:50;;Reponse4;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;100%;Nein;50%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;18.07.2023 11:52;;Reponse5;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;19.07.2023 10:28;;Reponse7;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;46%;Nein;44%;Ja;60%;Ja;57%;Ja;57%;Ja;58%;Ja;60%;Nein;40%;Ja;49%;Ja;46%;Stimme eher nicht zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Keine Angabe;Keine Angabe;Stimme gar nicht zu;Keine Angabe;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme gar nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;über 50;Weiblich;Komplette Antwort;19.07.2023 10:39;;Reponse9;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;45%;Nein;32%;Ja;44%;Ja;67%;Ja;47%;Nein;23%;Ja;32%;Nein;11%;Ja;58%;Ja;44%;Stimme eher zu;Stimme gar nicht zu;Stimme gar nicht zu;Keine Angabe;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Keine Angabe;Stimme eher nicht zu;Keine Angabe;Keine Angabe;Keine Angabe;Stimme eher zu;Stimme eher zu;Stimme gar nicht zu;Keine Angabe;Stimme eher zu;35 - 50;Weiblich;Komplette Antwort;19.07.2023 10:40;;Reponse10;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Nein;20%;Nein;10%;Ja;20%;Ja;50%;Ja;70%;Nein;60%;Ja;70%;Ja;80%;Ja;80%;Ja;90%;Stimme eher zu;Keine Angabe;Stimme gar nicht zu;Stimme voll zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Keine Angabe;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme voll zu;Stimme eher zu;Stimme voll zu;Stimme eher nicht zu;Stimme gar nicht zu;Stimme weder zu noch nicht zu;Stimme eher zu;35 - 50;Männlich;Komplette Antwort;19.07.2023 10:37;;Reponse11;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;19.07.2023 13:06;;Reponse14;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;19.07.2023 13:08;;Reponse15;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unvollständige Antwort;19.07.2023 13:29;;Reponse18;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;60%;Nein;60%;Ja;60%;Ja;70%;Ja;70%;Nein;70%;Ja;75%;Ja;70%;Ja;71%;Ja;73%;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;18 - 24;Weiblich;Komplette Antwort;19.07.2023 13:43;;Reponse22;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;85%;Nein;80%;Ja;82%;Ja;88%;Ja;86%;Ja;90%;Ja;86%;Ja;89%;Ja;93%;Ja;95%;Stimme eher zu;Keine Angabe;Stimme weder zu noch nicht zu;Stimme voll zu;Stimme eher zu;Stimme eher nicht zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme voll zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;25 - 34;Weiblich;Komplette Antwort;19.07.2023 13:29;;Reponse19;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Nein;50%;Ja;54%;Ja;80%;Nein;30%;Nein;50%;Nein;20%;Ja;60%;Ja;50%;Ja;90%;Ja;80%;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme voll zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme voll zu;Stimme eher nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;über 50;Männlich;Komplette Antwort;19.07.2023 13:34;;Reponse20;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Nein;32%;Nein;11%;Nein;20%;Nein;25%;Nein;20%;Nein;6%;Nein;16%;Ja;21%;Nein;16%;Nein;22%;Stimme eher nicht zu;Stimme eher nicht zu;Stimme voll zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme voll zu;Stimme eher zu;Stimme voll zu;über 50;Männlich;Komplette Antwort;19.07.2023 13:35;;Reponse21;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;89%;Nein;0%;Ja;88%;Nein;49%;Ja;100%;Ja;49%;Ja;100%;Ja;88%;Ja;100%;Ja;100%;Stimme eher zu;Keine Angabe;Stimme gar nicht zu;Stimme eher zu;Stimme eher zu;Stimme weder zu noch nicht zu;Stimme eher zu;Stimme eher zu;Keine Angabe;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme voll zu;Stimme voll zu;Stimme gar nicht zu;Stimme eher nicht zu;Stimme eher zu;25 - 34;Männlich;Komplette Antwort;19.07.2023 14:02;;Reponse25;13.07.2023 14:22
Ich erkläre, dass ich über die Verarbeitung meiner Daten aufgeklärt wurde und mit der Verarbeitung meiner Daten einverstanden bin.;Ja;50%;Nein;5%;Ja;100%;Ja;99%;Ja;100%;Ja;51%;Nein;26%;Nein;23%;Ja;100%;Ja;52%;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme gar nicht zu;Stimme eher zu;Stimme gar nicht zu;Stimme eher zu;Stimme gar nicht zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;über 50;Weiblich;Komplette Antwort;19.07.2023 16:13;;Reponse29;13.07.2023 14:22
